,GAMEID,TEAM_HOME,TEAM_AWAY,TEAM_ELO_BEFORE_HOME,TEAM_ELO_BEFORE_AWAY,TEAM_ELO_AFTER_HOME,TEAM_ELO_AFTER_AWAY,ODDS_HOME,PROBS_HOME,PROBS_AWAY
63,201311060BOS,BOS,UTA,1470.75107115134,1466.337693544612,1478.2939067648258,1458.7948579311262,1.7419410110880882,0.6352948528228299,0.3647051471771702
64,201311060MEM,MEM,NOP,1495.5257821754171,1483.2222316894365,1477.964810211394,1500.7832036534596,1.8228833418356647,0.6457522756325736,0.3542477243674264
65,201311060MIL,MIL,CLE,1493.6170187390746,1492.9285782155907,1498.817414531437,1487.7281824232284,1.7049871151422373,0.6303124719514914,0.36968752804850846
66,201311060MIN,MIN,GSW,1525.0755647721942,1536.5006629042773,1510.1673336224655,1551.408894054006,1.5901469284234773,0.613921515792673,0.38607848420732693
67,201311060SAS,SAS,PHO,1518.0963968318692,1515.546664666729,1522.193725239039,1511.4493362595592,1.7233533408718553,0.6328056352467802,0.3671943647532199
68,201311060OKC,OKC,DAL,1501.9529162181184,1519.652849494227,1512.25109240078,1509.3546733115654,1.5337344295629234,0.6053256456824077,0.39467435431759235
69,201311070MIA,MIA,LAC,1520.041253537889,1517.895125561123,1525.208152423752,1512.72822667526,1.7193540657212285,0.6322656131448703,0.36773438685512966
70,201311070DEN,DEN,ATL,1468.712878105649,1504.0793052836004,1472.8819863563074,1499.910197032942,1.38542790881947,0.5807880018914962,0.41921199810850385
71,201311070HOU,HOU,LAL,1532.9252046783167,1475.7631371370592,1526.975218064761,1481.7131237506148,2.3599628630116114,0.7023776628579528,0.2976223371420472
72,201311080CHA,CHA,NYK,1496.142421966752,1482.2177163186086,1482.5440833816642,1495.8160549036963,1.8399743301405214,0.6478841412800657,0.35211585871993434
73,201311080IND,IND,TOR,1545.3076609062753,1493.8917149317106,1550.2299614515011,1488.9694143864847,2.28317849351315,0.6954171081542525,0.30458289184574755
74,201311080ORL,ORL,BOS,1519.244114265195,1478.2939067648258,1512.4251488823138,1485.112872147707,2.149688428694959,0.6825082789492485,0.3174917210507516
75,201311080PHI,PHI,CLE,1480.7162917907401,1487.7281824232284,1491.0082689748056,1477.436205239163,1.6310612625536676,0.6199252316042936,0.38007476839570636
76,201311080WAS,WAS,BRK,1491.8973809149225,1495.9103122477109,1496.6688226893034,1491.13887047333,1.6594633744849638,0.6239842933751018,0.3760157066248982
77,201311080DET,DET,OKC,1499.8419388635243,1512.25109240078,1488.0337034570232,1524.059327807281,1.5811647223499787,0.6125779996367041,0.3874220003632959
78,201311080CHI,CHI,UTA,1481.9866767483986,1458.7948579311262,1494.4206876448613,1446.3608470346635,1.9407944743584322,0.6599558354998061,0.3400441645001939
79,201311080MIN,MIN,DAL,1510.1673336224655,1509.3546733115654,1516.872964683981,1502.64904225005,1.7062067304434207,0.6304790802747923,0.3695209197252077
80,201311080NOP,NOP,LAL,1500.7832036534596,1481.7131237506148,1508.275307819668,1474.2210195844066,1.8952879427173501,0.6546112097363768,0.34538879026362324
81,201311080SAS,SAS,GSW,1522.193725239039,1551.408894054006,1526.256771113013,1547.345848180032,1.435364093728884,0.5893837793802488,0.4106162206197513
82,201311080PHO,PHO,DEN,1511.4493362595592,1472.8819863563074,1518.2957538999558,1466.0355687159108,2.1204028279070593,0.6795285560387958,0.3204714439612041
83,201311080POR,POR,SAC,1499.133229082924,1475.0862072567152,1507.2823812957959,1466.9370550438432,1.9503724539416631,0.6610597422491483,0.3389402577508516
