,GAMEID,TEAM,ELO,DATE,WHERE_PLAYED,SEASON,D_RTG,GAME_NO,OPP_SCORE,O_RTG,SCORE
82,201311030MIA,MIA,1500.6470857696982,2013-11-03,Home,2014,106.0,4.0,93.0,117.4,103.0
83,201311030MIA,WAS,1481.6516553769818,2013-11-03,Away,2014,117.4,3.0,103.0,106.0,93.0
84,201311030ORL,ORL,1499.628675017101,2013-11-03,Home,2014,89.4,4.0,86.0,111.2,107.0
85,201311030ORL,BRK,1498.4214108890744,2013-11-03,Away,2014,111.2,3.0,107.0,89.4,86.0
86,201311030OKC,OKC,1495.2163225153379,2013-11-03,Home,2014,97.5,3.0,96.0,104.6,103.0
87,201311030OKC,PHO,1512.9372529605287,2013-11-03,Away,2014,104.6,3.0,103.0,97.5,96.0
88,201311030NYK,NYK,1503.0387581568286,2013-11-03,Home,2014,114.5,3.0,109.0,105.1,100.0
89,201311030NYK,MIN,1516.861744223779,2013-11-03,Away,2014,105.1,3.0,100.0,114.5,109.0
90,201311030LAL,LAL,1482.484715520467,2013-11-03,Home,2014,99.6,4.0,103.0,101.6,105.0
91,201311030LAL,ATL,1499.3843520869796,2013-11-03,Away,2014,101.6,3.0,105.0,99.6,103.0
92,201311040CLE,CLE,1489.384597985807,2013-11-04,Home,2014,89.9,4.0,92.0,90.9,93.0
93,201311040CLE,MIN,1528.619545001978,2013-11-04,Away,2014,90.9,4.0,93.0,89.9,92.0
94,201311040PHI,PHI,1518.8346357554772,2013-11-04,Home,2014,100.3,4.0,110.0,82.1,90.0
95,201311040PHI,GSW,1515.691281238198,2013-11-04,Away,2014,82.1,4.0,90.0,100.3,110.0
96,201311040MEM,MEM,1489.6421898141402,2013-11-04,Home,2014,97.8,4.0,88.0,105.6,95.0
97,201311040MEM,BOS,1476.634663512617,2013-11-04,Away,2014,105.6,4.0,95.0,97.8,88.0
98,201311040LAC,LAC,1512.4453245985821,2013-11-04,Home,2014,114.8,4.0,118.0,133.3,137.0
99,201311040LAC,HOU,1528.5422888186115,2013-11-04,Away,2014,133.3,4.0,137.0,114.8,118.0
100,201311050TOR,TOR,1509.8850888367128,2013-11-05,Home,2014,119.7,4.0,104.0,109.4,95.0
101,201311050TOR,MIA,1507.7103225304152,2013-11-05,Away,2014,109.4,5.0,95.0,119.7,104.0
102,201311050BRK,BRK,1485.9264391806719,2013-11-05,Home,2014,94.5,4.0,88.0,111.7,104.0
